,0,1,2,3,4
0,NO.,Product Name,Quantity,Main Technical Data,Remarks
1,1,Application Support System,1,Refer to Technical Specification in the tender documents,None
2,2,Data Processing aData Processing and Storage System (local IT resources),1,Refer to Technical Specification in the tender documents,None
3,3,Front End Sensing System,1,Refer to Technical Specification in the tender documents,None
4,4,Network System,1,Refer to Technical Specification in the tender documents,None
5,5,Safety System,1,Refer to Technical Specification in the tender documents,None
6,6,Smart Governance Center,1,Refer to Technical Specification in the tender documents,None
7,7,Anti-Terrorism Command Center,1,Refer to Technical Specification in the tender documents,None
8,8,Machine Room and Supporting Facilities,1,Refer to Technical Specification in the tender documents,None
9,9,Related Services,1,Refer to Technical Specification in the tender documents,None
